,NITROGEN PER HA OF NCA (Kg per ha),PHOSPHATE PER HA OF NCA (Kg per ha),POTASH PER HA OF NCA (Kg per ha),avg_rain,RICE YIELD (Kg per ha)
3894,67.03,45.33,40.18,239.9166667,1907.37
3895,66.6,54.84,22.27,269.9166667,2051.49
3896,53.77,24.91,19.32,252.9083333,2020.33
3897,65.12,29.09,19.82,304.1,2434.19
3898,72.43,38.64,26.38,274.15,2228.87
3899,90.43,40.96,30.28,177.975,1657.86
3902,2.93,4.14,5.54,198.9166667,1891.89
3903,4.41,2.02,5.15,223.1833333,1726.68
3904,10.09,5.87,8.97,244.1833333,1634.57
3905,20.82,7.29,5.16,219.0333333,1939.91
3906,13.28,7.48,5.98,196.7416667,1763.49
3907,5.33,3.89,6.17,227.8833333,1751.03
3908,13.5,7.98,5.44,228.1083333,1511.53
3909,6.41,3.59,3.53,273.7833333,1720.88
3910,12.23,6.71,5.27,166.775,1909.29
3911,16.95,9.75,6.9,269.975,2311.83
3912,27.81,18.29,14.87,251.9,1993.88
3913,37.79,23.41,17.63,228.5166667,2470.83
3914,33.9,22.16,17.19,252.575,3098.8
3915,22.88,17.15,19.98,248.05,2191.96
3916,47.4,30.56,21.86,172.7083333,2188.47
3917,28.28,16.84,22.22,202.9666667,2083.33
3918,37.33,32,31.83,242.25,2260.67
3919,35.46,22.13,43.17,179.8833333,2272.94
3920,44.4,24.28,41.69,198.5,2182.84
3921,41.41,26.46,34.02,144.0583333,1724.72
3922,56.67,37.92,49.6,186.05,1666.67
3923,52.62,35.4,46.22,214.7166667,2127.19
3924,61.98,31.02,64.4,197.1666667,2172.3
3925,66.68,46.3,42.56,218.9166667,2386.4
3926,44.97,29.36,37.36,245.1666667,2349.74
3927,54.9,27.07,40.08,188.475,2107.45
3928,62.29,36.84,49.19,272.4416667,2510.28
3929,84.32,52.21,73.57,223.8333333,2377.64
3930,64.83,34.67,47.8,249.75,2234.57
3931,93.46,65.26,100.12,279.8333333,2232.58
3932,91.39,58.41,62.49,235.5,2093.44
3933,92.2,63.63,84.27,244.9166667,2304.88
3934,98.13,60.19,83.33,236.25,2297.3
3935,64.29,42.23,62.74,213.0833333,2496.69
3936,78.64,44.86,70.61,176.5,1979.35
3937,68.14,37.35,46.65,160.4166667,1998.89
3938,75.5,52.12,74.23,232.25,2398.33
3939,86.47,57.83,82.2,277.25,2300.2
3940,101.97,58.81,70.15,244.3333333,2464.47
3941,95.39,58.92,73.23,313.3416667,2566.67
3942,107.8,65.59,82.87,190.5,2397.62
3943,119.41,76.26,128.2,208.4083333,2443.74
3944,127.45,91.46,88.66,220.4166667,2636.85
3945,122.51,112.23,98.78,256.5833333,2724.43
3946,85.59,46.43,72.3,150.6416667,2479.44
3947,109.77,66.33,75.9,252.6083333,2878.86
3948,117.33,66.7,87.17,219.1666667,2806.85
3949,134.6,80.25,106.28,207.2166667,2699.01
3950,117.04,49.29,49.88,115.6666667,3205.94
3951,101.5,43.63,38.65,120.3833333,3383.34
3952,117.45,46.87,36.53,78.95,3078.92
3953,105.36,42.04,37.69,115.675,3044.83
3954,124.91,50.89,46.2,109.3333333,3263.24
3955,115.52,42.03,40.39,115.5666667,3032.5
3956,116.77,41.48,31.09,140.35,2967.23
3957,201.2,70.04,32.78,75.21666667,4133.62
